Londres - Heathrow;LHR;LL;1;697;0;
Amsterdam - Schiphol;AMS;AM;2;540;0;
Francfort - Rhin;FRA;DF;3;270;0;
Madrid - Adlofo-Saurez-Bajanas;MAD;MD;4;1199;1;
Barcelone - El-Prat;BCN;BL;4;797;1;
Istambul - Ataturk;IST;FM;5;1866;1;
Moscou - Sheremetyevo;SVO;EE;6;2244;0;
Munich - Franck-Josef-Strauss;MUC;DM;3;319;0;
Londres - Gatwick;LGW;KK;1;660;0;
Rome - Fiumicino;FCO;RF;7;769;1;
